name,XPos,YPos,ZPos,XInTangent,YInTangent,ZInTangent,XOutTangent,YOutTangent,ZOutTangent
1,0.000000,-0.000000,-205.0,-1372.832520,-643.402527,-2058.0,1372.832520,643.402527,-205.0
2,4576.108398,2144.675049,-205.811104,3203.275879,1501.272461,-205.811104,4689.379395,2197.771484,-205.811104
3,4953.677734,2321.663574,-202.30423,4478.625488,2119.998047,-202.30423,5428.729492,2523.328857,-202.30423
4,6537.183594,2993.881348,-199.402313,6062.131836,2792.215820,-199.402313,7708.063477,3393.439941,-199.402313
5,10440.116211,4325.744141,-202.026688,9269.236328,3926.185059,-202.026688,11610.995117,4725.302734,-202.026688
6,14049.538086,6011.928711,-204.720261,12966.711914,5506.073242,-204.720261,14992.243164,6462.209961,-204.720261
7,17191.886719,7512.866211,-206.496033,16440.703125,7189.930664,-206.496033,17943.068359,7835.801270,-206.496033
8,19695.824219,8589.316406,-208.338898,18944.644531,8266.380859,-208.338898,20572.261719,8921.565430,-208.338898
9,22617.281250,9696.813477,-209.084274,21740.843750,9364.564453,-209.084274,23493.716797,10029.062500,-209.084274
10,25753.232422,10997.649414,-210.82103,24812.445312,10607.398438,-210.82103,26713.785156,11447.336914,-210.82103
11,28955.078125,12496.608398,-219.303116,27994.525391,12046.920898,-219.303116,37132.656250,16365.064453,-219.303116
12,56213.671875,25391.458984,-85.476318,48036.093750,21523.003906,-85.476318,61620.234375,27947.207031,-85.476318
13,74235.546875,33910.617188,-60.088741,68828.984375,31354.869141,-60.088741,75931.296875,34666.914062,-60.088741
14,79888.039062,36431.609375,-54.267349,78192.289062,35675.312500,-54.267349,81083.171875,36886.984375,-54.267349
15,83871.804688,37949.523438,-46.146957,82676.671875,37494.148438,-46.146957,85139.742188,38379.171875,-46.146957
16,88098.265625,39381.683594,-60.230068,86830.328125,38952.035156,-60.230068,93625.343750,41032.054688,-60.230068
17,106521.851562,44882.917969,-192.333588,100994.781250,43232.546875,-192.333588,107392.578125,45241.925781,-192.333588
18,109424.265625,46079.609375,-181.166092,108553.539062,45720.601562,-181.166092,110024.984375,46300.492188,-181.166092
19,111426.648438,46815.882812,-174.380325,110787.093750,46636.312500,-174.380325,112066.203125,46995.453125,-174.380325
20,113558.468750,47414.445312,-171.213165,112918.921875,47234.875000,-171.213165,114005.015625,47560.203125,-171.213165
21,115046.960938,47900.312500,-164.499634,112480.773438,47142.265625,-164.499634,117613.148438,48658.351562,-164.499634
22,123600.906250,50427.113281,-143.617752,121034.718750,49669.074219,-143.617752,126167.078125,51185.148438,-143.617752
23,124119.375000,50588.339844,-139.824493,123963.835938,50539.968750,-139.824493,124360.593750,50663.972656,-139.824493
24,124923.421875,50840.449219,-139.602158,124682.203125,50764.816406,-139.602158,126485.640625,51397.324219,-139.602158
25,130130.835938,52696.703125,-119.679817,128568.609375,52139.828125,-119.679817,131693.046875,53253.574219,-119.679817
26,130604.359375,52848.253906,-114.807091,130462.296875,52802.789062,-114.807091,131181.390625,53026.488281,-114.807091
27,132527.812500,53442.371094,-130.000656,131950.781250,53264.136719,-130.000656,133386.187500,53694.933594,-130.000656
28,135389.078125,54284.246094,-152.428513,134530.687500,54031.683594,-152.428513,136290.281250,54618.859375,-152.428513
29,138393.109375,55399.628906,-151.317886,137491.906250,55065.011719,-151.317886,139294.312500,55734.242188,-151.317886
30,139091.718750,55610.632812,-156.185379,138882.140625,55547.328125,-156.185379,139570.140625,55775.367188,-156.185379
31,140686.437500,56159.746094,-288.453918,140208.031250,55995.011719,-288.453918,141533.437500,56542.835938,-288.453918
32,143509.781250,57436.718750,-373.400269,142662.781250,57053.625000,-373.400269,143557.453125,57461.875000,-373.400269
33,143668.703125,57520.574219,-376.149628,143621.031250,57495.417969,-376.149628,143716.375000,57545.726562,-376.149628
