name,XPos,YPos,ZPos,XInTangent,YInTangent,ZInTangent,XOutTangent,YOutTangent,ZOutTangent
1,0.000000,-0.000000,-205.0,-1372.832520,-643.402527,-2058.0,1372.832520,643.402527,-205.0
2,4576.108398,2144.675049,-205.811104,3203.275879,1501.272461,-205.811104,4689.379395,2197.771484,-205.811104
3,4953.677734,2321.663574,-202.30423,4478.625488,2119.998047,-202.30423,5428.729492,2523.328857,-202.30423
4,6537.183594,2993.881348,-199.402313,6062.131836,2792.215820,-199.402313,7708.063477,3393.439941,-199.402313
5,10440.116211,4325.744141,-202.026688,9269.236328,3926.185059,-202.026688,11610.995117,4725.302734,-202.026688
6,13276.223633,5324.775879,-201.571609,12425.391602,5025.066406,-201.571609,14160.468750,5553.313477,-201.571609
7,16223.706055,6086.567383,-205.762482,15339.460938,5858.030273,-205.762482,16881.861328,6292.341309,-205.762482
8,18417.558594,6772.479980,-211.967422,17759.402344,6566.706055,-211.967422,18708.851562,6879.919922,-211.967422
9,19388.537109,7130.614258,-206.322556,19097.242188,7023.173828,-206.322556,19442.675781,7148.896973,-206.322556
10,19569.001953,7191.557129,-208.218979,18487.984375,6742.400391,-208.218979,20650.015625,7640.712891,-208.218979
11,23172.384766,8688.743164,-210.02948,22091.369141,8239.587891,-210.02948,24253.398438,9137.898438,-210.02948
12,33844.707031,13284.744141,-53.64576,30643.011719,11905.943359,-53.64576,35058.144531,13826.399414,-53.64576
13,37889.496094,15090.263672,-64.946617,36676.058594,14548.607422,-64.946617,43585.921875,17783.681641,-64.946617
14,56877.582031,24068.322266,-248.64801,51181.156250,21374.906250,-248.64801,62936.554688,26926.753906,-248.64801
15,77074.148438,33596.421875,-232.361633,71015.179688,30737.992188,-232.361633,78189.992188,34084.398438,-232.361633
16,80793.625000,35223.019531,-228.25647,79677.781250,34735.039062,-228.25647,81678.953125,35551.554688,-228.25647
17,83744.710938,36318.136719,-225.858688,82859.382812,35989.601562,-225.858688,85360.023438,36863.390625,-225.858688
18,89129.078125,38135.652344,-218.722748,87513.765625,37590.398438,-218.722748,92195.539062,39047.851562,-218.722748
19,99350.609375,41176.320312,-209.917725,96284.148438,40264.121094,-209.917725,99864.984375,41349.937500,-209.917725
20,101065.218750,41755.042969,-208.39798,100550.828125,41581.425781,-208.39798,102286.406250,42256.257812,-208.39798
21,105135.851562,43425.765625,-197.798538,103562.671875,42942.617188,-197.798538,106709.031250,43908.906250,-197.798538
22,110379.781250,45036.242188,-178.782135,108806.601562,44553.101562,-178.782135,111952.945312,45519.382812,-178.782135
23,117102.671875,47755.894531,-162.922791,115085.804688,46940.000000,-162.922791,119052.140625,48557.257812,-162.922791
24,123600.906250,50427.113281,-143.617752,121651.437500,49625.750000,-143.617752,125550.367188,51228.472656,-143.617752
25,124119.375000,50588.339844,-139.824493,123963.835938,50539.968750,-139.824493,124360.593750,50663.972656,-139.824493
26,124923.421875,50840.449219,-139.602158,124682.203125,50764.816406,-139.602158,126485.640625,51397.324219,-139.602158
27,130130.835938,52696.703125,-119.679817,128568.609375,52139.828125,-119.679817,131693.046875,53253.574219,-119.679817
28,130604.359375,52848.253906,-114.807091,130462.296875,52802.789062,-114.807091,131181.390625,53026.488281,-114.807091
29,132527.812500,53442.371094,-130.000656,131950.781250,53264.136719,-130.000656,133386.187500,53694.933594,-130.000656
30,135389.078125,54284.246094,-152.428513,134530.687500,54031.683594,-152.428513,136290.281250,54618.859375,-152.428513
31,138393.109375,55399.628906,-151.317886,137491.906250,55065.011719,-151.317886,139294.312500,55734.242188,-151.317886
32,139091.718750,55610.632812,-156.185379,138882.140625,55547.328125,-156.185379,139570.140625,55775.367188,-156.185379
33,140686.437500,56159.746094,-288.453918,140208.031250,55995.011719,-288.453918,141533.437500,56542.835938,-288.453918
34,143509.781250,57436.718750,-373.400269,142662.781250,57053.625000,-373.400269,143557.453125,57461.875000,-373.400269
35,143668.703125,57520.574219,-376.149628,143621.031250,57495.417969,-376.149628,143716.375000,57545.726562,-376.149628
