Point ID;EAST?NG;NORTH?NG;HÖHE;LAT;LONG;;
68;684913,2866;5341313,731;507,585;48,19810689;11,4885081;;48,1981068941006,11,4885081049585
69;684923,9445;5341310,858;507,485;48,19807797;11,48865014;;48,1980779668069,11,4886501439239
70;684934,7356;5341308,535;507,086;48,19805394;11,48879421;;48,1980539441557,11,488794213122
71;684935,7841;5341308,338;506,766;48,19805187;11,48880822;;48,1980518680853,11,4888082238749
72;684946,5753;5341306,016;506,413;48,19802785;11,48895229;;48,1980278541975,11,4889522946987
73;684957,2331;5341303,143;505,755;48,19799893;11,48909433;;48,1979989263915,11,4890943318311
74;684972,0251;5341298,466;504,947;48,19795258;11,48929116;;48,197952579138,11,4892911649758
75;684982,0396;5341294,654;504,247;48,1979154;11,48942414;;48,1979153982348,11,489424143719
76;684991,1437;5341291,479;503,925;48,19788421;11,48954516;;48,197884214157,11,4895451631708
77;685000,4709;5341287,052;503,726;48,1978417;11,48966863;;48,1978416995009,11,4896686348998
78;685013,3524;5341281,075;503,613;48,19778422;11,48983921;;48,1977842180831,11,4898392100195
79;685022,9741;5341276,422;503,465;48,1977396;11,48996654;;48,1977396030184,11,4899665354976
80;685032,8579;5341271,141;503,335;48,19768925;11,49009712;;48,1976892502718,11,4900971249167
81;685041,617;5341265,632;503,205;48,19763718;11,49021248;;48,1976371808732,11,4902124767692
82;685048,2804;5341261,376;503,1;48,19759698;11,49030021;;48,1975969826698,11,4903002076383
83;685055,0678;5341256,275;503,008;48,19754916;11,49038924;;48,1975491570413,11,4903892414408
84;685059,9925;5341252,195;502,921;48,19751105;11,49045367;;48,1975110476752,11,4904536740914
85;685066,723;5341246,467;502,847;48,1974576;11,49054166;;48,1974576001839,11,4905416649369
86;685074,0452;5341239,348;502,748;48,19739148;11,490637;;48,197391476259,11,4906370030249
87;685079,1043;5341234,404;502,643;48,19734557;11,49070286;;48,197345565155,11,4907028569691
88;685084,7115;5341228,84;502,556;48,19729392;11,49077582;;48,1972939212422,11,4907758189807
89;685091,7201;5341221,947;502,458;48,19722992;11,49086704;;48,1972299152641,11,4908670385717
90;685097,0981;5341216,457;502,359;48,19717901;11,49093695;;48,1971790054867,11,4909369450901
91;685103,358;5341210,082;502,266;48,19711988;11,49101833;;48,1971198829216,11,4910183315313
92;685118,4531;5341195,148;502,19;48,19698125;11,49121476;;48,1969812497523,11,4912147563013
93;685125,1294;5341188,686;502,163;48,19692122;11,4913017;;48,1969212210571,11,4913017046093
94;685130,8662;5341182,295;502,163;48,1968621;11,49137604;;48,1968620960867,11,4913760377186
95;685136,8625;5341175,472;502,163;48,19679903;11,49145368;;48,1967990299864,11,4914536829403
96;685144,5444;5341166,742;502,163;48,19671832;11,49155315;;48,1967183202146,11,4915531520891
97;685150,4848;5341160,337;502,163;48,19665902;11,49163022;;48,1966590154964,11,4916302246542
98;685157,2559;5341152,881;502,163;48,19659003;11,491718;;48,1965900345318,11,49171800304
99;685163,6839;5341145,66;502,163;48,19652325;11,49180127;;48,1965232497883,11,4918012684229
100;685170,0859;5341137,981;502,163;48,19645236;11,49188399;;48,1964523647147,11,4918839850207
101;685174,3983;5341132,671;502,163;48,19640337;11,49193965;;48,1964033703284,11,4919396450441
102;685180,2746;5341125,54;502,163;48,19633756;11,49201554;;48,1963375626458,11,4920155372821
103;685186,0892;5341118,909;502,163;48,19627627;11,49209082;;48,1962762707605,11,4920908219176
104;685191,5552;5341112,912;502,163;48,19622077;11,49216169;;48,1962207742376,11,4921616889619
105;685200,3349;5341104,169;502,163;48,19613962;11,49227591;;48,1961396174617,11,492275910401
106;685209,0916;5341096,341;502,163;48,19606671;11,49239022;;48,1960667122057,11,4923902242796
107;685217,447;5341089,624;502,163;48,1960039;11,49249962;;48,1960039003783,11,4924996176157
108;685226,802;5341082,8;502,163;48,19593983;11,49262241;;48,1959398259052,11,4926224132879
109;685234,1481;5341077,846;502,113;48,19589316;11,49271901;;48,1958931570393,11,4927190056942
110;685244,075;5341071,827;502,003;48,19583616;11,49284984;;48,1958361588766,11,4928498353562
111;685252,4042;5341067,411;501,896;48,19579404;11,49295989;;48,1957940362849,11,49295988635
112;685263,1251;5341062,026;501,845;48,19574251;11,49310167;;48,1957425075082,11,4931016722407
113;685271,4767;5341058,249;501,837;48,19570613;11,4932123;;48,1957061268726,11,4932122999456
114;685281,3432;5341054,413;501,832;48,19566877;11,49334327;;48,1956687735433,11,4933432727634
115;685291,6243;5341050,821;501,827;48,19563348;11,49347992;;48,1956334837761,11,4934799222734
116;685305,4451;5341046,617;501,822;48,19559166;11,49366389;;48,1955916646039,11,4936638916931
117;685330,0681;5341039,224;501,817;48,19551803;11,49399169;;48,1955180264559,11,4939916876081
118;685353,9555;5341032,199;501,811;48,19544791;11,49430976;;48,1954479148487,11,4943097558075
119;685372,9849;5341026,571;501,801;48,19539177;11,49456313;;48,1953917739794,11,4945631278653
120;685415,6966;5341013,757;501,789;48,19526413;11,49513174;;48,1952641251216,11,4951317394507
121;685449,2871;5341003,84;501,778;48,19516518;11,49557899;;48,1951651810702,11,4955789899426
122;685475,4241;5340996,132;501,752;48,19508827;11,495927;;48,195088273471,11,4959270024563
123;685504,1514;5340987,547;501,743;48,19500271;11,49630945;;48,195002711247,11,4963094502672
124;685532,5939;5340979,08;501,727;48,1949183;11,49668812;;48,1949183035063,11,4966881152624
125;685568,2586;5340968,594;501,713;48,19481363;11,497163;;48,1948136257525,11,4971630037622
126;685602,042;5340958,506;501,698;48,19471308;11,49761276;;48,194713076444,11,4976127628684
127;685635,1072;5340948,618;501,681;48,19461454;11,49805295;;48,1946145370826,11,4980529517968
128;685665,6056;5340939,525;501,675;48,19452389;11,49845898;;48,1945238906739,11,4984589765276
129;685699,8329;5340929,385;501,669;48,19442274;11,49891468;;48,1944227358063,11,4989146834542
130;685751,2457;5340914,126;501,662;48,19427056;11,49959917;;48,1942705562835,11,4995991749692
131;685772,8121;5340907,621;501,632;48,19420578;11,49988625;;48,1942057755741,11,4998862509362
132;685799,8169;5340899,584;501,621;48,19412564;11,50024577;;48,1941256364398,11,5002457674183
133;685827,1959;5340891,459;501,611;48,1940446;11,50061028;;48,19404459905,11,5006102819552
134;685849,9348;5340884,704;501,599;48,19397723;11,50091301;;48,1939772292039,11,5009130130651
135;685877,0975;5340876,717;501,582;48,19389749;11,50127467;;48,1938974850425,11,5012746688323
136;685891,864;5340872,259;501,574;48,1938531;11,50147123;;48,1938531006316,11,5014712317214
137;685902,4669;5340868,976;501,568;48,19382049;11,50161233;;48,1938204894151,11,5016123279048
138;685911,1433;5340866,74;501,552;48,19379785;11,50172799;;48,1937978538625,11,5017279920467
139;685921,9399;5340864,476;501,543;48,19377434;11,50187214;;48,1937743416597,11,5018721409758
140;685931,5989;5340862,742;501,532;48,19375593;11,50200123;;48,1937559311349,11,5020012300149
141;685941,296;5340861,485;501,487;48,19374179;11,50213104;;48,1937417875984,11,50213103877
142;685946,6459;5340860,936;501,482;48,19373529;11,50220272;;48,1937352851029,11,5022027179113
143;685957,2888;5340860,08;501,478;48,19372448;11,50234542;;48,1937244768023,11,5023454189973
144;685964,2771;5340859,611;501,474;48,19371822;11,50243916;;48,1937182210115,11,5024391586304
145;685969,5626;5340859,284;501,467;48,19371373;11,50251007;;48,1937137318313,11,5025100712055
146;685977,7174;5340858,672;501,46;48,19370584;11,50261943;;48,1937058405886,11,5026194295859
147;685983,1858;5340857,89;501,455;48,19369721;11,5026926;;48,19369721187,11,5026926037439
