name,XPos,YPos,ZPos,XInTangent,YInTangent,ZInTangent,XOutTangent,YOutTangent,ZOutTangent
1,0.000000,-0.000000,-205.0,-1372.832520,-643.402527,-2058.0,1372.832520,643.402527,-205.0
2,4576.108398,2144.675049,-205.811104,3203.275879,1501.272461,-205.811104,4689.379395,2197.771484,-205.811104
3,4953.677734,2321.663574,-204.304229,4840.407227,2268.566895,-204.304229,5066.948242,2374.760010,-204.304229
4,6557.049805,3149.002197,-202.055832,6076.038086,2900.800537,-202.055832,7592.789062,3786.551270,-202.055832
5,10009.515625,5274.165039,-200.986908,8973.775391,4636.616211,-200.986908,11045.254883,5911.713379,-200.986908
6,12964.122070,7181.693848,-202.35054,12077.740234,6609.435059,-202.35054,13916.572266,7865.303711,-202.35054
7,16542.015625,9776.456055,-204.836655,16421.097656,9681.637695,-204.836655,16887.589844,9963.674805,-204.836655
8,17693.929688,10400.519531,-207.565109,17348.355469,10213.300781,-207.565109,18012.427734,10590.527344,-207.565109
9,18755.589844,11033.878906,-210.901962,18437.091797,10843.871094,-210.901962,18814.724609,11068.689453,-210.901962
10,18952.705078,11149.915039,-207.274216,17652.251953,10330.662109,-207.274216,20253.156250,11969.167969,-207.274216
11,23287.544922,13880.756836,-209.47757,21987.093750,13061.503906,-209.47757,23676.111328,14098.544922,-209.47757
12,24582.767578,14606.715820,-214.586304,24194.201172,14388.927734,-214.586304,25400.242188,15047.664062,-214.586304
13,27307.681641,16076.543945,-213.445633,26490.207031,15635.595703,-213.445633,28690.146484,16739.601562,-213.445633
14,31915.896484,18286.734375,-219.988831,30533.431641,17623.677734,-219.988831,38486.820312,21389.246094,-219.988831
15,53818.980469,28628.439453,-245.901901,47248.054688,25525.929688,-245.901901,60043.289062,31561.667969,-245.901901
16,74566.671875,38405.867188,-235.900299,68342.359375,35472.640625,-235.900299,75372.500000,38760.343750,-235.900299
17,77252.773438,39587.457031,-232.93689,76446.945312,39232.980469,-232.93689,78958.906250,40249.953125,-232.93689
18,82939.867188,41795.785156,-225.734131,81233.734375,41133.285156,-225.734131,84239.671875,42244.433594,-225.734131
19,87272.539062,43291.277344,-218.375,85972.734375,42842.632812,-218.375,90559.421875,44256.441406,-218.375
20,98228.804688,46508.488281,-208.687912,94941.929688,45543.324219,-208.687912,100108.460938,47015.117188,-208.687912
21,104494.312500,48197.246094,-195.887558,102614.656250,47690.617188,-195.887558,105254.117188,48369.593750,-195.887558
22,107027.000000,48771.742188,-188.891571,106267.195312,48599.394531,-188.891571,108177.343750,48944.800781,-188.891571
23,110861.476562,49348.609375,-181.910797,109711.132812,49175.550781,-181.910797,112011.820312,49521.667969,-181.910797
24,113167.921875,49596.621094,-168.674667,112475.992188,49522.214844,-168.674667,113921.453125,49712.417969,-168.674667
25,115679.664062,49982.617188,-163.167389,114926.140625,49866.820312,-163.167389,116433.187500,50098.410156,-163.167389
26,116443.679688,50147.027344,-161.890701,116214.484375,50097.703125,-161.890701,118036.734375,50415.882812,-161.890701
27,121753.859375,51043.210938,-145.241196,120160.812500,50774.355469,-145.241196,122289.140625,51172.738281,-145.241196
28,123538.132812,51474.976562,-141.900467,123002.859375,51345.449219,-141.900467,124073.406250,51604.503906,-141.900467
29,123740.921875,51535.164062,-139.633865,123680.078125,51517.105469,-139.633865,124006.656250,51610.000000,-139.633865
30,124626.718750,51784.625000,-137.415909,124360.984375,51709.789062,-137.415909,125859.414062,52088.496094,-137.415909
31,128735.703125,52797.523438,-124.195381,127503.007812,52493.652344,-124.195381,129174.812500,52920.148438,-124.195381
32,130199.398438,53206.273438,-127.008095,129760.289062,53083.648438,-127.008095,130638.507812,53328.898438,-127.008095
33,130507.296875,53296.429688,-132.881805,130414.929688,53269.382812,-132.881805,131086.562500,53474.593750,-132.881805
34,132438.187500,53890.308594,-147.340073,131858.921875,53712.144531,-147.340073,133307.500000,54135.843750,-147.340073
35,135335.890625,54708.753906,-143.959946,134466.578125,54463.222656,-143.959946,135834.437500,54806.085938,-143.959946
36,136997.703125,55033.183594,-143.75882,136499.156250,54935.851562,-143.75882,137416.328125,55143.117188,-143.75882
37,138393.109375,55399.628906,-151.317886,137974.484375,55289.695312,-151.317886,138811.718750,55509.562500,-151.317886
38,139091.718750,55610.632812,-156.185379,138882.140625,55547.328125,-156.185379,139570.140625,55775.367188,-156.185379
39,140686.437500,56159.746094,-288.453918,140208.031250,55995.011719,-288.453918,141533.437500,56542.835938,-288.453918
40,143509.781250,57436.718750,-373.400269,142662.781250,57053.625000,-373.400269,143557.453125,57461.875000,-373.400269
41,143668.703125,57520.574219,-376.149628,143621.031250,57495.417969,-376.149628,143716.375000,57545.726562,-376.149628
