name,XPos,YPos,ZPos,XInTangent,YInTangent,ZInTangent,XOutTangent,YOutTangent,ZOutTangent
1,0.000000,-0.000000,-205.0,-1372.832520,-643.402527,-2058.0,1372.832520,643.402527,-205.0
2,4576.108398,2144.675049,-205.811104,3203.275879,1501.272461,-205.811104,4689.379395,2197.771484,-205.811104
3,4953.677734,2321.663574,-204.304229,4840.407227,2268.566895,-204.304229,5066.948242,2374.760010,-204.304229
4,6557.049805,3149.002197,-202.055832,6076.038086,2900.800537,-202.055832,7592.789062,3786.551270,-202.055832
5,10009.515625,5274.165039,-200.986908,8973.775391,4636.616211,-200.986908,11045.254883,5911.713379,-200.986908
6,12964.122070,7181.693848,-202.35054,12077.740234,6609.435059,-202.35054,13916.572266,7865.303711,-202.35054
7,16138.953125,9460.394531,-206.437347,15186.503906,8776.784180,-206.437347,17091.402344,10144.003906,-206.437347
8,17877.343750,10784.014648,-205.683258,16489.562500,9747.282227,-205.683258,19265.125000,11820.746094,-205.683258
9,22503.277344,14239.787109,-205.73172,21115.496094,13203.054688,-205.73172,23288.656250,14862.009766,-205.73172
10,25121.207031,16313.862305,-203.083969,24335.828125,15691.639648,-203.083969,25731.789062,16704.734375,-203.083969
11,27156.482422,17616.767578,-208.951035,26545.898438,17225.896484,-208.951035,27805.792969,17963.000000,-208.951035
12,29320.853516,18770.875000,-216.636444,28671.542969,18424.642578,-216.636444,36376.851562,22108.097656,-216.636444
13,52840.843750,29894.953125,-240.811478,45784.847656,26557.730469,-240.811478,57744.281250,32209.972656,-240.811478
14,69185.640625,37611.683594,-232.425903,64282.203125,35296.664062,-232.425903,71767.398438,38786.636719,-232.425903
15,77791.500000,41528.195312,-227.22554,75209.742188,40353.242188,-227.22554,79438.062500,42142.550781,-227.22554
16,83280.039062,43576.050781,-219.720093,81633.476562,42961.695312,-219.720093,83920.648438,43788.992188,-219.720093
17,85415.398438,44285.859375,-219.78009,84774.789062,44072.917969,-219.78009,88898.476562,45314.785156,-219.78009
18,97025.656250,47715.605469,-210.876831,93542.578125,46686.679688,-210.876831,97832.281250,47886.449219,-210.876831
19,99714.382812,48285.085938,-202.617905,98907.765625,48114.242188,-202.617905,100334.875000,48358.476562,-202.617905
20,101782.679688,48529.722656,-201.505341,101162.187500,48456.332031,-201.505341,102403.171875,48603.109375,-201.505341
21,103966.625000,48670.472656,-193.702118,103311.437500,48628.250000,-193.702118,106035.078125,48873.914062,-193.702118
22,110861.476562,49348.609375,-181.910797,108793.015625,49145.171875,-181.910797,112929.937500,49552.046875,-181.910797
23,113167.921875,49596.621094,-168.674667,112475.992188,49522.214844,-168.674667,113921.453125,49712.417969,-168.674667
24,115679.664062,49982.617188,-163.167389,114926.140625,49866.820312,-163.167389,116433.187500,50098.410156,-163.167389
25,116443.679688,50147.027344,-161.890701,116214.484375,50097.703125,-161.890701,118036.734375,50415.882812,-161.890701
26,121753.859375,51043.210938,-145.241196,120160.812500,50774.355469,-145.241196,122289.140625,51172.738281,-145.241196
27,123538.132812,51474.976562,-141.900467,123002.859375,51345.449219,-141.900467,124073.406250,51604.503906,-141.900467
28,123740.921875,51535.164062,-139.633865,123680.078125,51517.105469,-139.633865,124006.656250,51610.000000,-139.633865
29,124626.718750,51784.625000,-137.415909,124360.984375,51709.789062,-137.415909,125859.414062,52088.496094,-137.415909
30,128735.703125,52797.523438,-124.195381,127503.007812,52493.652344,-124.195381,129174.812500,52920.148438,-124.195381
31,130199.398438,53206.273438,-127.008095,129760.289062,53083.648438,-127.008095,130638.507812,53328.898438,-127.008095
32,130507.296875,53296.429688,-132.881805,130414.929688,53269.382812,-132.881805,131086.562500,53474.593750,-132.881805
33,132438.187500,53890.308594,-147.340073,131858.921875,53712.144531,-147.340073,133307.500000,54135.843750,-147.340073
34,135335.890625,54708.753906,-143.959946,134466.578125,54463.222656,-143.959946,135834.437500,54806.085938,-143.959946
35,136997.703125,55033.183594,-143.75882,136499.156250,54935.851562,-143.75882,137416.328125,55143.117188,-143.75882
36,138393.109375,55399.628906,-151.317886,137974.484375,55289.695312,-151.317886,138811.718750,55509.562500,-151.317886
37,139091.718750,55610.632812,-156.185379,138882.140625,55547.328125,-156.185379,139570.140625,55775.367188,-156.185379
38,140686.437500,56159.746094,-288.453918,140208.031250,55995.011719,-288.453918,141533.437500,56542.835938,-288.453918
39,143509.781250,57436.718750,-373.400269,142662.781250,57053.625000,-373.400269,143557.453125,57461.875000,-373.400269
