name,XPos,YPos,ZPos,XInTangent,YInTangent,ZInTangent,XOutTangent,YOutTangent,ZOutTangent
1,0.000000,-0.000000,-205.0,-1372.832520,-643.402527,-2058.0,1372.832520,643.402527,-205.0
2,4576.108398,2144.675049,-205.811104,3203.275879,1501.272461,-205.811104,4689.379395,2197.771484,-205.811104
3,4953.677734,2321.663574,-202.30423,4478.625488,2119.998047,-202.30423,5428.729492,2523.328857,-202.30423
4,6537.183594,2993.881348,-199.402313,6062.131836,2792.215820,-199.402313,7708.063477,3393.439941,-199.402313
5,10440.116211,4325.744141,-202.026688,9269.236328,3926.185059,-202.026688,11610.995117,4725.302734,-202.026688
6,14049.538086,6011.928711,-204.720261,12966.711914,5506.073242,-204.720261,14992.243164,6462.209961,-204.720261
7,17191.886719,7512.866211,-206.496033,16249.181641,7062.584961,-206.496033,18134.589844,7963.146973,-206.496033
8,23391.685547,10417.295898,-211.434326,21531.746094,9545.966797,-211.434326,33182.402344,15044.857422,-211.434326
9,56027.406250,25842.501953,-243.370926,46236.687500,21214.941406,-243.370926,61533.554688,28441.763672,-243.370926
10,74381.234375,34506.703125,-229.571976,68875.085938,31907.441406,-229.571976,76092.593750,35262.496094,-229.571976
11,80085.757812,37026.015625,-223.991501,78374.406250,36270.222656,-223.991501,82469.625000,37876.882812,-223.991501
12,88031.984375,39862.234375,-219.618607,85648.117188,39011.367188,-219.618607,93538.250000,41489.914062,-219.618607
13,106386.195312,45287.835938,-193.65065,100879.929688,43660.156250,-193.65065,107898.328125,45746.250000,-193.65065
14,111426.648438,46815.882812,-174.380325,110787.093750,46636.312500,-174.380325,112066.203125,46995.453125,-174.380325
15,113558.468750,47414.445312,-171.213165,112918.921875,47234.875000,-171.213165,114005.015625,47560.203125,-171.213165
16,115046.960938,47900.312500,-164.499634,112480.773438,47142.265625,-164.499634,117613.148438,48658.351562,-164.499634
17,123600.906250,50427.113281,-143.617752,121034.718750,49669.074219,-143.617752,126167.078125,51185.148438,-143.617752
18,124119.375000,50588.339844,-139.824493,123963.835938,50539.968750,-139.824493,124360.593750,50663.972656,-139.824493
19,124923.421875,50840.449219,-139.602158,124682.203125,50764.816406,-139.602158,126485.640625,51397.324219,-139.602158
20,130130.835938,52696.703125,-119.679817,128568.609375,52139.828125,-119.679817,131693.046875,53253.574219,-119.679817
21,130604.359375,52848.253906,-114.807091,130462.296875,52802.789062,-114.807091,131181.390625,53026.488281,-114.807091
22,132527.812500,53442.371094,-130.000656,131950.781250,53264.136719,-130.000656,133386.187500,53694.933594,-130.000656
23,135389.078125,54284.246094,-152.428513,134530.687500,54031.683594,-152.428513,136290.281250,54618.859375,-152.428513
24,138393.109375,55399.628906,-151.317886,137491.906250,55065.011719,-151.317886,139294.312500,55734.242188,-151.317886
25,139091.718750,55610.632812,-156.185379,138882.140625,55547.328125,-156.185379,139570.140625,55775.367188,-156.185379
26,140686.437500,56159.746094,-288.453918,140208.031250,55995.011719,-288.453918,141533.437500,56542.835938,-288.453918
27,143509.781250,57436.718750,-373.400269,142662.781250,57053.625000,-373.400269,143557.453125,57461.875000,-373.400269
28,143668.703125,57520.574219,-376.149628,143621.031250,57495.417969,-376.149628,143716.375000,57545.726562,-376.149628
