name,XPos,YPos,ZPos,XInTangent,YInTangent,ZInTangent,XOutTangent,YOutTangent,ZOutTangent
1,0.000000,-0.000000,-205.0,-1372.832520,-643.402527,-2058.0,1372.832520,643.402527,-205.0
2,4576.108398,2144.675049,-205.811104,3203.275879,1501.272461,-205.811104,4689.379395,2197.771484,-205.811104
3,4953.677734,2321.663574,-202.30423,4478.625488,2119.998047,-202.30423,5428.729492,2523.328857,-202.30423
4,6537.183594,2993.881348,-199.402313,6062.131836,2792.215820,-199.402313,7708.063477,3393.439941,-199.402313
5,10440.116211,4325.744141,-202.026688,9269.236328,3926.185059,-202.026688,11610.995117,4725.302734,-202.026688
6,13276.223633,5324.775879,-201.571609,12425.391602,5025.066406,-201.571609,14160.468750,5553.313477,-201.571609
7,16223.706055,6086.567383,-205.762482,15339.460938,5858.030273,-205.762482,16881.861328,6292.341309,-205.762482
8,18417.558594,6772.479980,-211.967422,17759.402344,6566.706055,-211.967422,18708.851562,6879.919922,-211.967422
9,19388.537109,7130.614258,-206.322556,19097.242188,7023.173828,-206.322556,19442.675781,7148.896973,-206.322556
10,19569.001953,7191.557129,-208.218979,18487.984375,6742.400391,-208.218979,20650.015625,7640.712891,-208.218979
11,22051.283203,8057.305664,-208.576065,21306.599609,7797.581055,-208.576065,24261.746094,8727.076172,-208.576065
12,29419.492188,10289.873047,-216.002792,27209.029297,9620.103516,-216.002792,29907.074219,10464.414062,-216.002792
13,31044.765625,10871.674805,-215.86528,30557.183594,10697.134766,-215.86528,31548.167969,11052.379883,-215.86528
14,32722.769531,11474.023438,-218.742584,32219.367188,11293.319336,-218.742584,40224.812500,15013.763672,-218.742584
15,57729.582031,23273.154297,-246.682129,50227.539062,19733.416016,-246.682129,63591.281250,26034.476562,-246.682129
16,77268.578125,32477.560547,-59.206345,71406.875000,29716.240234,-59.206345,78474.335938,32986.000000,-59.206345
17,81287.773438,34172.355469,-70.717819,80082.015625,33663.917969,-70.717819,82778.359375,34724.988281,-70.717819
18,86256.382812,36014.460938,-49.008026,84765.796875,35461.828125,-49.008026,86879.156250,36227.976562,-49.008026
19,88332.281250,36726.179688,-46.770317,87709.515625,36512.664062,-46.770317,91455.539062,37669.921875,-46.770317
20,98743.140625,39871.992188,-209.770981,95619.882812,38928.250000,-209.770981,99733.179688,40263.867188,-209.770981
21,102043.273438,41178.246094,-206.752365,101053.234375,40786.367188,-206.752365,103625.289062,41934.808594,-206.752365
22,107316.664062,43700.117188,-190.132889,106397.718750,43299.273438,-190.132889,108235.601562,44100.953125,-190.132889
23,110379.781250,45036.242188,-178.782135,109460.843750,44635.406250,-178.782135,111298.703125,45437.078125,-178.782135
24,110379.781250,45036.242188,-178.782135,109460.843750,44635.406250,-178.782135,111298.703125,45437.078125,-178.782135
25,117102.671875,47755.894531,-162.922791,115085.804688,46940.000000,-162.922791,119052.140625,48557.257812,-162.922791
26,123600.906250,50427.113281,-143.617752,121651.437500,49625.750000,-143.617752,125550.367188,51228.472656,-143.617752
27,124119.375000,50588.339844,-139.824493,123963.835938,50539.968750,-139.824493,124360.593750,50663.972656,-139.824493
28,124923.421875,50840.449219,-139.602158,124682.203125,50764.816406,-139.602158,126485.640625,51397.324219,-139.602158
29,130130.835938,52696.703125,-119.679817,128568.609375,52139.828125,-119.679817,131693.046875,53253.574219,-119.679817
30,130604.359375,52848.253906,-114.807091,130462.296875,52802.789062,-114.807091,131181.390625,53026.488281,-114.807091
31,132527.812500,53442.371094,-130.000656,131950.781250,53264.136719,-130.000656,133386.187500,53694.933594,-130.000656
32,135389.078125,54284.246094,-152.428513,134530.687500,54031.683594,-152.428513,136290.281250,54618.859375,-152.428513
33,138393.109375,55399.628906,-151.317886,137491.906250,55065.011719,-151.317886,139294.312500,55734.242188,-151.317886
34,139091.718750,55610.632812,-156.185379,138882.140625,55547.328125,-156.185379,139570.140625,55775.367188,-156.185379
35,140686.437500,56159.746094,-288.453918,140208.031250,55995.011719,-288.453918,141533.437500,56542.835938,-288.453918
36,143509.781250,57436.718750,-373.400269,142662.781250,57053.625000,-373.400269,143557.453125,57461.875000,-373.400269
37,143668.703125,57520.574219,-376.149628,143621.031250,57495.417969,-376.149628,143716.375000,57545.726562,-376.149628
