name,XPos,YPos,ZPos,XInTangent,YInTangent,ZInTangent,XOutTangent,YOutTangent,ZOutTangent
1,0.000000,-0.000000,-205.0,-1372.832520,-643.402527,-2058.0,1372.832520,643.402527,-205.0
2,4576.108398,2144.675049,-205.811104,3203.275879,1501.272461,-205.811104,4689.379395,2197.771484,-205.811104
3,4953.677734,2321.663574,-204.304229,4840.407227,2268.566895,-204.304229,5066.948242,2374.760010,-204.304229
4,6557.049805,3149.002197,-202.055832,6076.038086,2900.800537,-202.055832,7592.789062,3786.551270,-202.055832
5,10009.515625,5274.165039,-200.986908,8973.775391,4636.616211,-200.986908,11045.254883,5911.713379,-200.986908
6,12964.122070,7181.693848,-202.35054,12077.740234,6609.435059,-202.35054,13916.572266,7865.303711,-202.35054
7,16138.953125,9460.394531,-206.437347,15186.503906,8776.784180,-206.437347,17091.402344,10144.003906,-206.437347
8,17877.343750,10784.014648,-205.683258,17355.826172,10386.928711,-205.683258,18398.861328,11181.100586,-205.683258
9,18939.804688,11673.240234,-205.757492,18621.066406,11406.472656,-205.757492,19896.804688,12566.970703,-205.757492
10,22129.804688,14652.341797,-210.152481,21172.804688,13758.611328,-210.152481,22588.812500,15048.097656,-210.152481
11,23659.830078,15971.531250,-193.896149,23200.822266,15575.773438,-193.896149,24007.443359,16234.027344,-193.896149
12,24818.542969,16846.521484,-212.977661,24470.929688,16584.023438,-212.977661,25201.714844,17104.535156,-212.977661
13,26095.779297,17706.566406,-214.307327,25712.607422,17448.552734,-214.307327,26455.265625,17921.951172,-214.307327
14,27294.066406,18424.515625,-215.048279,26934.580078,18209.130859,-215.048279,28043.173828,18820.935547,-215.048279
15,29791.091797,19745.916016,-219.276337,29041.984375,19349.496094,-219.276337,36606.738281,22964.054688,-219.276337
16,52509.914062,30473.041016,-243.768051,45694.265625,27254.904297,-243.768051,58738.687500,33406.140625,-243.768051
17,73272.500000,40250.042969,-232.984879,67043.726562,37316.941406,-232.984879,74664.289062,40852.613281,-232.984879
18,77911.789062,42258.613281,-229.430832,76520.000000,41656.042969,-229.430832,79447.937500,42839.820312,-229.430832
19,83032.296875,44195.972656,-223.806808,81496.140625,43614.765625,-223.806808,83657.187500,44406.085938,-223.806808
20,85115.281250,44896.351562,-220.725098,84490.382812,44686.238281,-220.725098,87864.335938,45722.042969,-220.725098
21,94278.804688,47648.652344,-211.770798,91529.750000,46822.960938,-211.770798,94676.703125,47739.257812,-211.770798
22,95605.125000,47950.671875,-212.480774,95207.226562,47860.066406,-212.480774,95847.593750,47996.234375,-212.480774
23,96413.359375,48102.550781,-188.939774,96170.890625,48056.988281,-188.939774,98024.156250,48230.703125,-188.939774
24,101782.679688,48529.722656,-201.505341,100171.882812,48401.570312,-201.505341,103393.476562,48657.871094,-201.505341
25,103966.625000,48670.472656,-193.702118,103311.437500,48628.250000,-193.702118,106035.078125,48873.914062,-193.702118
26,110861.476562,49348.609375,-181.910797,108793.015625,49145.171875,-181.910797,112929.937500,49552.046875,-181.910797
27,113167.921875,49596.621094,-168.674667,112475.992188,49522.214844,-168.674667,113921.453125,49712.417969,-168.674667
28,115679.664062,49982.617188,-163.167389,114926.140625,49866.820312,-163.167389,116433.187500,50098.410156,-163.167389
29,116443.679688,50147.027344,-161.890701,116214.484375,50097.703125,-161.890701,118036.734375,50415.882812,-161.890701
30,121753.859375,51043.210938,-145.241196,120160.812500,50774.355469,-145.241196,122289.140625,51172.738281,-145.241196
31,123538.132812,51474.976562,-141.900467,123002.859375,51345.449219,-141.900467,124073.406250,51604.503906,-141.900467
32,123740.921875,51535.164062,-139.633865,123680.078125,51517.105469,-139.633865,124006.656250,51610.000000,-139.633865
33,124626.718750,51784.625000,-137.415909,124360.984375,51709.789062,-137.415909,125859.414062,52088.496094,-137.415909
34,128735.703125,52797.523438,-124.195381,127503.007812,52493.652344,-124.195381,129174.812500,52920.148438,-124.195381
35,130199.398438,53206.273438,-127.008095,129760.289062,53083.648438,-127.008095,130638.507812,53328.898438,-127.008095
36,130507.296875,53296.429688,-132.881805,130414.929688,53269.382812,-132.881805,131086.562500,53474.593750,-132.881805
37,132438.187500,53890.308594,-147.340073,131858.921875,53712.144531,-147.340073,133307.500000,54135.843750,-147.340073
38,135335.890625,54708.753906,-143.959946,134466.578125,54463.222656,-143.959946,135834.437500,54806.085938,-143.959946
39,136997.703125,55033.183594,-143.75882,136499.156250,54935.851562,-143.75882,137416.328125,55143.117188,-143.75882
40,138393.109375,55399.628906,-151.317886,137974.484375,55289.695312,-151.317886,138811.718750,55509.562500,-151.317886
41,139091.718750,55610.632812,-156.185379,138882.140625,55547.328125,-156.185379,139570.140625,55775.367188,-156.185379
42,140686.437500,56159.746094,-288.453918,140208.031250,55995.011719,-288.453918,141533.437500,56542.835938,-288.453918
43,143509.781250,57436.718750,-373.400269,142662.781250,57053.625000,-373.400269,143557.453125,57461.875000,-373.400269
44,143668.703125,57520.574219,-376.149628,143621.031250,57495.417969,-376.149628,143716.375000,57545.726562,-376.149628
