name,XPos,YPos,ZPos,XInTangent,YInTangent,ZInTangent,XOutTangent,YOutTangent,ZOutTangent
1,0.000000,-0.000000,-205.0,-1372.832520,-643.402527,-2058.0,1372.832520,643.402527,-205.0
2,4576.108398,2144.675049,-205.811104,3203.275879,1501.272461,-205.811104,4689.379395,2197.771484,-205.811104
3,4953.677734,2321.663574,-202.30423,4478.625488,2119.998047,-202.30423,5428.729492,2523.328857,-202.30423
4,6537.183594,2993.881348,-199.402313,6062.131836,2792.215820,-199.402313,7708.063477,3393.439941,-199.402313
5,10440.116211,4325.744141,-202.026688,9269.236328,3926.185059,-202.026688,11610.995117,4725.302734,-202.026688
6,14049.538086,6011.928711,-204.720261,12966.711914,5506.073242,-204.720261,14992.243164,6462.209961,-204.720261
7,17191.886719,7512.866211,-206.496033,16440.703125,7189.930664,-206.496033,17943.068359,7835.801270,-206.496033
8,19695.824219,8589.316406,-208.338898,18944.644531,8266.380859,-208.338898,20572.261719,8921.565430,-208.338898
9,22617.281250,9696.813477,-209.084274,19328.917969,8467.662109,-209.084274,25905.642578,10925.964844,-209.084274
10,33578.484375,13793.982422,-221.149643,30290.125000,12564.831055,-221.149643,34256.640625,14065.846680,-221.149643
11,35838.996094,14700.198242,-224.935135,35160.843750,14428.333984,-224.935135,42072.398438,17646.667969,-224.935135
12,56617.011719,24521.761719,-246.274582,50383.605469,21575.292969,-246.274582,61996.277344,27061.697266,-246.274582
13,74547.898438,32988.214844,-230.370239,69168.632812,30448.279297,-230.370239,76209.671875,33728.921875,-230.370239
14,80087.140625,35457.234375,-225.110855,78425.367188,34716.531250,-225.110855,81752.054688,36087.679688,-225.110855
15,85636.867188,37558.710938,-61.814194,83971.945312,36928.269531,-61.814194,90233.914062,38948.800781,-61.814194
16,100960.351562,42192.343750,-61.955814,96363.304688,40802.253906,-61.955814,102213.000000,42562.371094,-61.955814
17,105135.851562,43425.765625,-197.798538,102162.515625,42083.398438,-197.798538,108109.187500,44768.128906,-197.798538
18,115046.960938,47900.312500,-164.499634,112073.632812,46557.949219,-164.499634,118020.289062,49242.671875,-164.499634
19,115046.960938,47900.312500,-164.499634,112480.773438,47142.265625,-164.499634,117613.148438,48658.351562,-164.499634
20,123600.906250,50427.113281,-143.617752,121034.718750,49669.074219,-143.617752,126167.078125,51185.148438,-143.617752
21,124119.375000,50588.339844,-139.824493,123963.835938,50539.968750,-139.824493,124360.593750,50663.972656,-139.824493
22,124923.421875,50840.449219,-139.602158,124682.203125,50764.816406,-139.602158,126485.640625,51397.324219,-139.602158
23,130130.835938,52696.703125,-119.679817,128568.609375,52139.828125,-119.679817,131693.046875,53253.574219,-119.679817
24,130604.359375,52848.253906,-114.807091,130462.296875,52802.789062,-114.807091,131181.390625,53026.488281,-114.807091
25,132527.812500,53442.371094,-130.000656,131950.781250,53264.136719,-130.000656,133386.187500,53694.933594,-130.000656
26,135389.078125,54284.246094,-152.428513,134530.687500,54031.683594,-152.428513,136290.281250,54618.859375,-152.428513
27,138393.109375,55399.628906,-151.317886,137491.906250,55065.011719,-151.317886,139294.312500,55734.242188,-151.317886
28,139091.718750,55610.632812,-156.185379,138882.140625,55547.328125,-156.185379,139570.140625,55775.367188,-156.185379
29,140686.437500,56159.746094,-288.453918,140208.031250,55995.011719,-288.453918,141533.437500,56542.835938,-288.453918
30,143509.781250,57436.718750,-373.400269,142662.781250,57053.625000,-373.400269,143557.453125,57461.875000,-373.400269
31,143668.703125,57520.574219,-376.149628,143621.031250,57495.417969,-376.149628,143716.375000,57545.726562,-376.149628
