name,XPos,YPos,ZPos,XInTangent,YInTangent,ZInTangent,XOutTangent,YOutTangent,ZOutTangent
1,0.000000,-0.000000,-205.0,-1372.832520,-643.402527,-2058.0,1372.832520,643.402527,-205.0
2,4576.108398,2144.675049,-205.811104,3203.275879,1501.272461,-205.811104,4689.379395,2197.771484,-205.811104
3,4953.677734,2321.663574,-202.30423,4478.625488,2119.998047,-202.30423,5428.729492,2523.328857,-202.30423
4,6537.183594,2993.881348,-199.402313,6062.131836,2792.215820,-199.402313,7708.063477,3393.439941,-199.402313
5,10440.116211,4325.744141,-202.026688,9269.236328,3926.185059,-202.026688,11610.995117,4725.302734,-202.026688
6,13276.223633,5324.775879,-201.571609,12425.391602,5025.066406,-201.571609,14160.468750,5553.313477,-201.571609
7,16223.706055,6086.567383,-205.762482,15339.460938,5858.030273,-205.762482,16881.861328,6292.341309,-205.762482
8,18417.558594,6772.479980,-211.967422,17759.402344,6566.706055,-211.967422,18708.851562,6879.919922,-211.967422
9,19388.537109,7130.614258,-206.322556,19097.242188,7023.173828,-206.322556,19442.675781,7148.896973,-206.322556
10,19569.001953,7191.557129,-208.218979,18487.984375,6742.400391,-208.218979,20650.015625,7640.712891,-208.218979
11,23172.384766,8688.743164,-210.02948,22091.369141,8239.587891,-210.02948,24253.398438,9137.898438,-210.02948
12,26290.246094,9890.027344,-209.384247,25354.886719,9529.642578,-209.384247,27133.656250,10166.588867,-209.384247
13,29101.617188,10811.899414,-215.638672,28258.205078,10535.337891,-215.638672,30007.039062,11143.201172,-215.638672
14,32119.695312,11916.236328,-218.283356,31214.273438,11584.935547,-218.283356,32721.523438,12173.873047,-218.283356
15,34125.785156,12775.026367,-77.288483,33523.957031,12517.389648,-77.288483,41063.683594,16049.245117,-77.288483
16,57252.113281,23689.087891,-245.875275,50314.218750,20414.869141,-245.875275,62826.093750,26316.185547,-245.875275
17,75832.039062,32446.078125,-233.3246,70258.062500,29818.980469,-233.3246,77294.312500,33089.757812,-233.3246
18,80706.281250,34591.671875,-231.384628,79244.007812,33947.992188,-231.384628,82314.718750,35200.578125,-231.384628
19,86067.734375,36621.351562,-221.924728,84459.296875,36012.445312,-221.924728,87005.812500,36924.808594,-221.924728
20,89194.648438,37632.875000,-216.855286,88256.578125,37329.417969,-216.855286,91734.000000,38391.894531,-216.855286
21,97659.148438,40162.937500,-209.766708,95119.804688,39403.921875,-209.766708,98491.179688,40429.753906,-209.766708
22,100432.570312,41052.324219,-207.005447,99600.546875,40785.507812,-207.005447,100857.140625,41208.820312,-207.005447
23,101847.804688,41573.972656,-205.554779,101423.234375,41417.480469,-205.554779,103488.460938,42211.816406,-205.554779
24,107316.664062,43700.117188,-190.132889,106397.718750,43299.273438,-190.132889,108235.601562,44100.953125,-190.132889
25,110379.781250,45036.242188,-178.782135,109460.843750,44635.406250,-178.782135,111298.703125,45437.078125,-178.782135
26,117102.671875,47755.894531,-162.922791,115085.804688,46940.000000,-162.922791,119052.140625,48557.257812,-162.922791
27,123600.906250,50427.113281,-143.617752,121651.437500,49625.750000,-143.617752,125550.367188,51228.472656,-143.617752
28,124119.375000,50588.339844,-139.824493,123963.835938,50539.968750,-139.824493,124360.593750,50663.972656,-139.824493
29,124923.421875,50840.449219,-139.602158,124682.203125,50764.816406,-139.602158,126485.640625,51397.324219,-139.602158
30,130130.835938,52696.703125,-119.679817,128568.609375,52139.828125,-119.679817,131693.046875,53253.574219,-119.679817
31,130604.359375,52848.253906,-114.807091,130462.296875,52802.789062,-114.807091,131181.390625,53026.488281,-114.807091
32,132527.812500,53442.371094,-130.000656,131950.781250,53264.136719,-130.000656,133386.187500,53694.933594,-130.000656
33,135389.078125,54284.246094,-152.428513,134530.687500,54031.683594,-152.428513,136290.281250,54618.859375,-152.428513
34,138393.109375,55399.628906,-151.317886,137491.906250,55065.011719,-151.317886,139294.312500,55734.242188,-151.317886
35,139091.718750,55610.632812,-156.185379,138882.140625,55547.328125,-156.185379,139570.140625,55775.367188,-156.185379
36,140686.437500,56159.746094,-288.453918,140208.031250,55995.011719,-288.453918,141533.437500,56542.835938,-288.453918
37,143509.781250,57436.718750,-373.400269,142662.781250,57053.625000,-373.400269,143557.453125,57461.875000,-373.400269
38,143668.703125,57520.574219,-376.149628,143621.031250,57495.417969,-376.149628,143716.375000,57545.726562,-376.149628
