name,XPos,YPos,ZPos,XInTangent,YInTangent,ZInTangent,XOutTangent,YOutTangent,ZOutTangent
1,0.000000,-0.000000,-205.0,-1372.832520,-643.402527,-2058.0,1372.832520,643.402527,-205.0
2,4576.108398,2144.675049,-205.811104,3203.275879,1501.272461,-205.811104,4689.379395,2197.771484,-205.811104
3,4953.677734,2321.663574,-204.304229,4840.407227,2268.566895,-204.304229,5066.948242,2374.760010,-204.304229
4,6557.049805,3149.002197,-202.055832,6076.038086,2900.800537,-202.055832,7592.789062,3786.551270,-202.055832
5,10009.515625,5274.165039,-200.986908,8973.775391,4636.616211,-200.986908,11045.254883,5911.713379,-200.986908
6,12056.272461,6242.979004,-199.471649,11442.245117,5952.334961,-199.471649,13380.097656,6887.932129,-199.471649
7,16469.023438,8392.822266,-201.878403,15145.198242,7747.869141,-201.878403,18837.328125,9668.333008,-201.878403
8,24363.375000,12644.525391,-213.378784,23341.667969,12166.765625,-213.378784,25385.080078,13122.285156,-213.378784
9,27769.060547,14237.058594,-213.340897,26747.355469,13759.297852,-213.340897,28655.714844,14609.018555,-213.340897
10,30724.578125,15476.926758,-217.917709,29837.923828,15104.966797,-217.917709,32986.351562,16422.042969,-217.917709
11,38263.828125,18627.314453,-84.520233,36002.054688,17682.199219,-84.520233,38911.320312,18916.851562,-84.520233
12,40422.132812,19592.435547,-74.415047,39774.640625,19302.898438,-74.415047,44911.062500,21720.664062,-74.415047
13,55385.230469,26686.527344,-244.402618,50896.300781,24558.298828,-244.402618,61208.730469,29439.093750,-244.402618
14,74796.898438,35861.753906,-228.526718,68973.398438,33109.183594,-228.526718,76161.710938,36458.515625,-228.526718
15,79346.281250,37850.964844,-225.737183,77981.468750,37254.203125,-225.737183,80656.390625,38342.679688,-225.737183
16,83713.304688,39490.003906,-219.080444,82403.195312,38998.292969,-219.080444,86882.875000,40485.679688,-219.080444
17,94278.539062,42808.929688,-207.868896,91108.968750,41813.250000,-207.868896,97923.851562,43885.953125,-207.868896
18,106429.578125,46399.015625,-189.92131,102784.265625,45321.992188,-189.92131,109185.039062,47214.386719,-189.92131
19,115614.453125,49116.914062,-163.777374,112858.992188,48301.546875,-163.777374,118369.906250,49932.281250,-163.777374
20,115771.921875,49156.320312,-177.745529,115724.679688,49144.496094,-177.745529,116614.687500,49409.410156,-177.745529
21,118581.140625,49999.960938,-165.600967,117738.375000,49746.867188,-165.600967,119423.906250,50253.046875,-165.600967
22,120766.781250,50652.382812,-144.62117,120111.085938,50456.656250,-144.62117,121598.187500,50899.160156,-144.62117
23,123538.132812,51474.976562,-141.900467,123002.859375,51345.449219,-141.900467,124073.406250,51604.503906,-141.900467
24,123740.921875,51535.164062,-139.633865,123680.078125,51517.105469,-139.633865,124006.656250,51610.000000,-139.633865
25,124626.718750,51784.625000,-137.415909,124360.984375,51709.789062,-137.415909,125859.414062,52088.496094,-137.415909
26,128735.703125,52797.523438,-124.195381,127503.007812,52493.652344,-124.195381,129174.812500,52920.148438,-124.195381
27,130199.398438,53206.273438,-127.008095,129760.289062,53083.648438,-127.008095,130638.507812,53328.898438,-127.008095
28,130507.296875,53296.429688,-132.881805,130414.929688,53269.382812,-132.881805,131086.562500,53474.593750,-132.881805
29,132438.187500,53890.308594,-147.340073,131858.921875,53712.144531,-147.340073,133307.500000,54135.843750,-147.340073
30,135335.890625,54708.753906,-143.959946,134466.578125,54463.222656,-143.959946,135834.437500,54806.085938,-143.959946
31,136997.703125,55033.183594,-143.75882,136499.156250,54935.851562,-143.75882,137416.328125,55143.117188,-143.75882
32,138393.109375,55399.628906,-151.317886,137974.484375,55289.695312,-151.317886,138811.718750,55509.562500,-151.317886
33,139091.718750,55610.632812,-156.185379,138882.140625,55547.328125,-156.185379,139570.140625,55775.367188,-156.185379
34,140686.437500,56159.746094,-288.453918,140208.031250,55995.011719,-288.453918,141533.437500,56542.835938,-288.453918
35,143509.781250,57436.718750,-373.400269,142662.781250,57053.625000,-373.400269,143557.453125,57461.875000,-373.400269
36,143668.703125,57520.574219,-376.149628,143621.031250,57495.417969,-376.149628,143716.375000,57545.726562,-376.149628
