name,XPos,YPos,ZPos,XInTangent,YInTangent,ZInTangent,XOutTangent,YOutTangent,ZOutTangent
1,0.000000,-0.000000,-205.0,-1372.832520,-643.402527,-2058.0,1372.832520,643.402527,-205.0
2,4576.108398,2144.675049,-205.811104,3203.275879,1501.272461,-205.811104,4689.379395,2197.771484,-205.811104
3,4953.677734,2321.663574,-204.304229,4840.407227,2268.566895,-204.304229,5066.948242,2374.760010,-204.304229
4,6557.049805,3149.002197,-202.055832,6076.038086,2900.800537,-202.055832,7592.789062,3786.551270,-202.055832
5,10009.515625,5274.165039,-200.986908,8973.775391,4636.616211,-200.986908,11045.254883,5911.713379,-200.986908
6,12964.122070,7181.693848,-202.35054,12077.740234,6609.435059,-202.35054,13916.572266,7865.303711,-202.35054
7,16542.015625,9776.456055,-204.836655,16421.097656,9681.637695,-204.836655,16887.589844,9963.674805,-204.836655
8,17693.929688,10400.519531,-207.565109,17348.355469,10213.300781,-207.565109,18012.427734,10590.527344,-207.565109
9,18755.589844,11033.878906,-210.901962,18437.091797,10843.871094,-210.901962,18814.724609,11068.689453,-210.901962
10,18952.705078,11149.915039,-207.274216,17652.251953,10330.662109,-207.274216,20253.156250,11969.167969,-207.274216
11,19700.076172,11612.058594,-208.42662,19475.863281,11473.416016,-208.42662,20211.046875,11853.605469,-208.42662
12,21403.310547,12417.213867,-210.270004,20567.390625,12026.919922,-210.270004,22239.228516,12807.507812,-210.270004
13,24189.703125,13718.190430,-211.783173,23353.785156,13327.897461,-211.783173,25401.734375,14216.521484,-211.783173
14,28229.806641,15379.291992,-217.281494,27017.777344,14880.960938,-217.281494,29424.685547,15968.285156,-217.281494
15,32212.734375,17342.605469,-221.710312,31017.855469,16753.611328,-221.710312,38804.359375,20464.470703,-221.710312
16,54184.812500,27748.824219,-246.595322,47593.187500,24626.957031,-246.595322,55596.421875,28414.216797,-246.595322
17,58890.187500,29966.800781,-249.685287,57478.574219,29301.406250,-249.685287,63041.105469,31918.894531,-249.685287
18,72726.585938,36473.777344,-236.133102,68575.664062,34521.687500,-236.133102,74225.820312,37156.320312,-236.133102
19,77724.039062,38748.925781,-230.549438,76224.804688,38066.382812,-230.549438,79455.546875,39437.304688,-230.549438
20,83495.734375,41043.519531,-222.443054,81764.226562,40355.140625,-222.443054,84706.445312,41428.289062,-222.443054
21,87531.437500,42326.089844,-219.128662,86320.726562,41941.320312,-219.128662,90751.109375,43283.410156,-219.128662
22,98263.687500,45517.164062,-209.110794,95044.007812,44559.839844,-209.110794,99174.492188,45804.796875,-209.110794
23,101299.718750,46475.937500,-204.237152,100388.914062,46188.304688,-204.237152,102287.296875,46791.121094,-204.237152
24,104591.625000,47526.546875,-192.278824,103604.046875,47211.363281,-192.278824,105575.242188,47788.449219,-192.278824
25,107870.359375,48399.558594,-191.040146,105849.437500,47940.902344,-191.040146,109891.281250,48858.214844,-191.040146
26,108267.054688,48475.730469,-189.374985,108148.046875,48452.878906,-189.374985,108386.062500,48498.582031,-189.374985
27,110509.851562,48825.945312,-177.745529,109837.015625,48720.878906,-177.745529,111799.765625,48967.777344,-177.745529
28,114809.570312,49298.722656,-165.600967,113519.656250,49156.890625,-165.600967,115357.359375,49401.152344,-165.600967
29,116635.546875,49640.156250,-160.098618,116087.750000,49537.726562,-160.098618,117219.226562,49748.097656,-160.098618
30,118581.140625,49999.960938,-144.324463,117997.460938,49892.019531,-144.324463,119164.820312,50107.898438,-144.324463
31,120766.781250,50652.382812,-144.62117,120111.085938,50456.656250,-144.62117,121598.187500,50899.160156,-144.62117
32,123538.132812,51474.976562,-141.900467,122706.734375,51228.199219,-141.900467,124369.531250,51721.753906,-141.900467
33,123538.132812,51474.976562,-141.900467,123002.859375,51345.449219,-141.900467,124073.406250,51604.503906,-141.900467
34,123740.921875,51535.164062,-139.633865,123680.078125,51517.105469,-139.633865,124006.656250,51610.000000,-139.633865
35,124626.718750,51784.625000,-137.415909,124360.984375,51709.789062,-137.415909,125859.414062,52088.496094,-137.415909
36,128735.703125,52797.523438,-124.195381,127503.007812,52493.652344,-124.195381,129174.812500,52920.148438,-124.195381
37,130199.398438,53206.273438,-127.008095,129760.289062,53083.648438,-127.008095,130638.507812,53328.898438,-127.008095
38,130507.296875,53296.429688,-132.881805,130414.929688,53269.382812,-132.881805,131086.562500,53474.593750,-132.881805
39,132438.187500,53890.308594,-147.340073,131858.921875,53712.144531,-147.340073,133307.500000,54135.843750,-147.340073
40,135335.890625,54708.753906,-143.959946,134466.578125,54463.222656,-143.959946,135834.437500,54806.085938,-143.959946
41,136997.703125,55033.183594,-143.75882,136499.156250,54935.851562,-143.75882,137416.328125,55143.117188,-143.75882
42,138393.109375,55399.628906,-151.317886,137974.484375,55289.695312,-151.317886,138811.718750,55509.562500,-151.317886
43,139091.718750,55610.632812,-156.185379,138882.140625,55547.328125,-156.185379,139570.140625,55775.367188,-156.185379
44,140686.437500,56159.746094,-288.453918,140208.031250,55995.011719,-288.453918,141533.437500,56542.835938,-288.453918
45,143509.781250,57436.718750,-373.400269,142662.781250,57053.625000,-373.400269,143557.453125,57461.875000,-373.400269
46,143668.703125,57520.574219,-376.149628,143621.031250,57495.417969,-376.149628,143716.375000,57545.726562,-376.149628
